               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094144,            0.029554,            0.015258,             0.49166,              0.6976,             0.45701,             0.14641,            0.065795,            0.017055,           0.0028896,            0.070143,           0.0033175,           0.0033175
                   1,            0.073292,            0.023064,           0.0058195,             0.59488,             0.83138,             0.84462,               0.343,            0.064281,            0.014434,           0.0022847,            0.040011,           0.0065191,           0.0065191
                   2,            0.067789,            0.020521,           0.0045183,             0.62942,             0.83081,             0.85155,             0.36911,            0.058491,            0.015873,            0.002246,           0.0097475,           0.0095888,           0.0095888
                   3,            0.062475,            0.020009,            0.003867,             0.94743,             0.79647,             0.88297,             0.51399,            0.046132,            0.013869,           0.0015748,            0.009406,            0.009406,            0.009406
                   4,            0.057289,            0.019446,           0.0033461,              0.9274,             0.77085,             0.86252,             0.49183,            0.040371,             0.01503,           0.0014292,            0.009406,            0.009406,            0.009406
                   5,            0.054007,            0.018416,           0.0029143,             0.89665,             0.88684,             0.90578,             0.54479,            0.037438,             0.01458,           0.0011837,            0.009208,            0.009208,            0.009208
                   6,            0.051646,            0.017998,           0.0029691,             0.89456,             0.84072,              0.8704,             0.48036,            0.038765,            0.015303,           0.0011509,             0.00901,             0.00901,             0.00901
                   7,            0.051005,            0.018175,           0.0025339,             0.85201,             0.83121,             0.90089,             0.52317,            0.044101,             0.01532,            0.000763,            0.008812,            0.008812,            0.008812
                   8,            0.049975,            0.018357,           0.0025899,             0.90984,              0.8054,              0.8614,             0.49839,            0.034171,            0.016267,          0.00084173,            0.008614,            0.008614,            0.008614
                   9,            0.048536,            0.017859,           0.0024512,             0.90782,             0.85083,              0.8824,              0.5228,            0.031252,            0.016077,          0.00073269,            0.008416,            0.008416,            0.008416
                  10,            0.047705,            0.017856,           0.0022235,              0.8938,             0.85462,             0.89075,             0.52405,            0.030708,            0.014245,          0.00083473,            0.008218,            0.008218,            0.008218
                  11,            0.046628,            0.017327,           0.0019746,             0.86905,             0.80316,             0.83683,             0.46396,            0.037864,            0.014866,          0.00066567,             0.00802,             0.00802,             0.00802
