               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096465,            0.027775,            0.015681,             0.63318,             0.65177,             0.65105,             0.24526,            0.059374,            0.020132,           0.0027884,            0.070143,           0.0033175,           0.0033175
                   1,            0.072191,            0.022825,           0.0060891,             0.50951,             0.79752,             0.73432,             0.40294,            0.054967,              0.0148,           0.0021045,            0.040011,           0.0065191,           0.0065191
                   2,            0.066636,            0.020309,           0.0044744,             0.66783,             0.80917,             0.72697,             0.40394,            0.053662,            0.014001,           0.0023116,           0.0097475,           0.0095888,           0.0095888
                   3,            0.062363,            0.019958,           0.0038905,             0.78267,             0.81818,             0.77144,             0.45839,            0.047244,            0.014713,           0.0015479,            0.009406,            0.009406,            0.009406
                   4,            0.057175,            0.019376,           0.0032551,             0.93258,             0.79808,             0.87508,             0.52707,            0.044181,             0.01596,           0.0014885,            0.009406,            0.009406,            0.009406
                   5,             0.05382,            0.018623,           0.0030347,             0.92791,             0.81668,             0.87751,             0.45241,            0.038287,            0.016638,           0.0012346,            0.009208,            0.009208,            0.009208
                   6,            0.051765,            0.018174,           0.0028399,             0.88901,             0.87987,             0.89751,             0.53996,            0.033922,             0.01415,            0.001085,             0.00901,             0.00901,             0.00901
                   7,            0.051151,            0.018391,           0.0025735,             0.89559,             0.84841,             0.89465,             0.53993,            0.032077,            0.015282,          0.00096769,            0.008812,            0.008812,            0.008812
                   8,            0.050045,            0.018532,           0.0025163,             0.89109,             0.80466,             0.87214,             0.51586,             0.03368,            0.017974,           0.0010442,            0.008614,            0.008614,            0.008614
                   9,            0.048612,            0.017979,           0.0024164,             0.89773,             0.86439,              0.8997,             0.51849,            0.033998,            0.014658,          0.00053257,            0.008416,            0.008416,            0.008416
                  10,            0.047685,             0.01801,           0.0022389,             0.89756,             0.84598,             0.88218,             0.45861,            0.037068,            0.016262,           0.0012129,            0.008218,            0.008218,            0.008218
                  11,            0.046723,            0.017488,            0.002119,             0.87677,             0.83696,             0.86722,             0.49703,            0.036282,            0.015116,          0.00072202,             0.00802,             0.00802,             0.00802
                  12,            0.045401,            0.017125,           0.0021419,             0.87657,             0.80633,              0.8441,              0.4784,            0.033219,            0.017481,          0.00063835,            0.007822,            0.007822,            0.007822
                  13,            0.045481,             0.01692,           0.0020448,             0.91185,             0.86418,             0.90318,             0.47842,            0.033793,            0.016341,          0.00079471,            0.007624,            0.007624,            0.007624
                  14,            0.043669,            0.016462,           0.0018118,             0.91706,             0.82507,             0.87216,             0.52979,            0.031576,            0.016651,          0.00054794,            0.007426,            0.007426,            0.007426
                  15,            0.043863,            0.016621,           0.0020348,             0.86282,             0.84378,             0.87743,             0.49706,            0.031153,            0.015474,          0.00063511,            0.007228,            0.007228,            0.007228
                  16,             0.04375,            0.017087,           0.0018144,             0.89324,             0.86627,             0.89968,              0.5157,            0.032541,            0.015656,          0.00049965,             0.00703,             0.00703,             0.00703
                  17,             0.04289,             0.01641,           0.0016933,             0.88264,             0.84298,             0.87795,             0.49539,            0.033889,            0.016096,          0.00070061,            0.006832,            0.006832,            0.006832
                  18,            0.042801,            0.016677,           0.0017289,             0.85547,             0.83696,             0.87192,             0.47074,            0.036399,             0.01458,          0.00043954,            0.006634,            0.006634,            0.006634
                  19,            0.042361,            0.016726,           0.0018503,             0.87193,             0.79715,             0.84654,             0.43781,            0.036909,            0.016887,          0.00069994,            0.006436,            0.006436,            0.006436
                  20,            0.042165,            0.016449,           0.0014713,             0.87989,             0.85349,             0.88761,             0.53117,            0.031207,            0.015558,          0.00047419,            0.006238,            0.006238,            0.006238
                  21,            0.040993,            0.016008,            0.001587,             0.91575,              0.8424,             0.88572,             0.50614,            0.031718,            0.016567,          0.00059755,             0.00604,             0.00604,             0.00604
                  22,            0.040354,            0.015947,           0.0014415,             0.87676,             0.84936,             0.87634,             0.50564,            0.031028,            0.014969,           0.0004676,            0.005842,            0.005842,            0.005842
                  23,            0.041003,            0.016166,           0.0015359,             0.90376,             0.85036,             0.89308,             0.52166,            0.033195,             0.01586,          0.00052576,            0.005644,            0.005644,            0.005644
                  24,            0.040637,            0.016334,           0.0014993,             0.89307,             0.86927,             0.90048,             0.50128,            0.032176,            0.016626,           0.0003781,            0.005446,            0.005446,            0.005446
                  25,            0.040126,            0.016067,           0.0014633,             0.87712,             0.82382,             0.86586,             0.47883,             0.03115,            0.018933,          0.00067165,            0.005248,            0.005248,            0.005248
                  26,            0.038769,            0.015771,           0.0013026,             0.90384,             0.83884,             0.88639,             0.51746,             0.03064,            0.016397,          0.00041793,             0.00505,             0.00505,             0.00505
