               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10484,            0.029729,            0.016371,              0.2176,             0.50327,             0.19959,             0.04609,            0.077782,            0.020317,            0.002736,            0.070143,           0.0033175,           0.0033175
                   1,            0.077681,             0.02334,           0.0060494,             0.58499,             0.78582,              0.6678,             0.22513,            0.064034,            0.015459,           0.0023006,            0.040011,           0.0065191,           0.0065191
                   2,            0.070306,            0.021227,           0.0049505,             0.70799,             0.78963,             0.82033,             0.35337,            0.060648,            0.015046,           0.0023994,           0.0097475,           0.0095888,           0.0095888
                   3,            0.064029,            0.020755,            0.003999,             0.74876,             0.81367,             0.85587,             0.46439,            0.042959,            0.015341,           0.0017612,            0.009406,            0.009406,            0.009406
                   4,            0.058976,             0.01993,            0.003483,             0.70094,             0.83877,             0.83101,             0.29236,            0.042787,            0.015093,           0.0013807,            0.009406,            0.009406,            0.009406
                   5,            0.055324,            0.018941,           0.0029354,             0.89202,             0.87077,             0.89819,             0.52333,            0.033444,            0.014695,          0.00094702,            0.009208,            0.009208,            0.009208
                   6,            0.052738,            0.018545,           0.0029783,              0.8728,             0.86101,             0.88359,             0.51318,             0.03324,            0.013919,           0.0010817,             0.00901,             0.00901,             0.00901
                   7,            0.052216,            0.018767,           0.0025472,             0.88477,               0.863,             0.88894,              0.5277,            0.031947,            0.015149,          0.00069146,            0.008812,            0.008812,            0.008812
                   8,            0.051216,            0.019009,           0.0026542,             0.89261,              0.8302,             0.86226,             0.49066,             0.03638,            0.015341,          0.00082242,            0.008614,            0.008614,            0.008614
                   9,             0.04958,             0.01855,           0.0025302,             0.87329,             0.84636,             0.87375,             0.47155,            0.039873,            0.015439,          0.00072487,            0.008416,            0.008416,            0.008416
                  10,            0.049155,            0.018474,           0.0023639,             0.88804,             0.87566,             0.90086,             0.50283,            0.034399,            0.014676,          0.00083734,            0.008218,            0.008218,            0.008218
                  11,            0.047859,            0.017988,           0.0021322,             0.86207,             0.82194,             0.84174,              0.4542,            0.034856,            0.014671,          0.00064599,             0.00802,             0.00802,             0.00802
                  12,            0.046638,            0.017697,           0.0022187,             0.87485,             0.87235,             0.89054,             0.52167,            0.032158,            0.014843,          0.00059784,            0.007822,            0.007822,            0.007822
                  13,            0.046494,            0.017396,           0.0020596,             0.89075,             0.80518,             0.86191,             0.48875,            0.031639,            0.017017,          0.00067324,            0.007624,            0.007624,            0.007624
