               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089501,            0.028874,            0.014293,              0.4633,             0.72953,             0.61674,             0.25519,             0.05952,            0.017399,           0.0024738,            0.070143,           0.0033175,           0.0033175
                   1,            0.070999,             0.02225,           0.0054804,             0.46599,             0.70266,             0.74316,             0.34855,            0.062109,            0.017774,           0.0030642,            0.040011,           0.0065191,           0.0065191
                   2,            0.065765,             0.01994,           0.0043076,             0.63416,             0.75357,             0.66887,             0.20054,            0.058981,            0.019124,           0.0020863,           0.0097475,           0.0095888,           0.0095888
                   3,            0.061644,             0.01982,           0.0038835,             0.92697,             0.65064,             0.78595,             0.47666,            0.061589,            0.023462,           0.0026342,            0.009406,            0.009406,            0.009406
                   4,            0.056841,            0.019182,           0.0032674,             0.88908,             0.84711,             0.88363,             0.52254,            0.043669,            0.015849,           0.0011825,            0.009406,            0.009406,            0.009406
                   5,            0.053595,            0.018442,            0.002839,             0.91188,             0.80976,             0.88853,             0.45833,            0.046277,            0.015319,           0.0015639,            0.009208,            0.009208,            0.009208
                   6,            0.051991,            0.017899,           0.0029012,              0.8955,             0.83246,             0.86884,              0.5095,            0.032928,            0.015844,            0.001169,             0.00901,             0.00901,             0.00901
                   7,            0.050991,            0.018081,           0.0024264,             0.88644,             0.83725,               0.898,             0.52385,             0.03922,            0.014982,          0.00094221,            0.008812,            0.008812,            0.008812
                   8,            0.049793,            0.018162,           0.0025854,             0.90041,              0.8369,             0.87994,             0.53289,            0.031355,            0.016142,          0.00080276,            0.008614,            0.008614,            0.008614
                   9,            0.048284,            0.017731,           0.0023479,             0.87569,             0.85562,             0.87496,             0.48556,            0.032883,            0.015606,            0.000622,            0.008416,            0.008416,            0.008416
                  10,            0.047517,            0.017683,           0.0022132,             0.88721,             0.78437,             0.84878,              0.5159,            0.033386,            0.016944,          0.00097213,            0.008218,            0.008218,            0.008218
                  11,            0.046478,            0.017252,           0.0020115,             0.88298,             0.82645,             0.86578,             0.48463,            0.035442,            0.015714,          0.00050198,             0.00802,             0.00802,             0.00802
                  12,            0.045385,            0.016994,           0.0021305,             0.88229,             0.84523,             0.87466,             0.47682,             0.03237,            0.015069,          0.00056236,            0.007822,            0.007822,            0.007822
                  13,            0.044766,             0.01661,           0.0019565,             0.89007,              0.7716,             0.81707,             0.48497,            0.033898,            0.018105,          0.00067151,            0.007624,            0.007624,            0.007624
                  14,            0.043548,            0.016291,           0.0018236,              0.8996,             0.81705,             0.85799,             0.49915,            0.031873,            0.016797,          0.00050885,            0.007426,            0.007426,            0.007426
                  15,             0.04345,            0.016393,           0.0019518,             0.88899,             0.83421,              0.8681,             0.47043,            0.032128,            0.016771,          0.00071264,            0.007228,            0.007228,            0.007228
                  16,            0.043225,            0.016743,           0.0017041,             0.90565,             0.82452,             0.86623,             0.50338,            0.034154,            0.017562,          0.00038798,             0.00703,             0.00703,             0.00703
                  17,            0.042682,             0.01618,           0.0016795,             0.90264,             0.84669,             0.88457,             0.50445,            0.034101,            0.015606,          0.00046008,            0.006832,            0.006832,            0.006832
                  18,            0.042027,            0.016351,           0.0016876,             0.87917,             0.85443,             0.88138,                0.47,            0.034836,            0.015626,          0.00042253,            0.006634,            0.006634,            0.006634
