               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090225,            0.027858,            0.013778,             0.36535,             0.57797,             0.35495,             0.12628,            0.066458,            0.017147,            0.003146,            0.070173,           0.0033141,           0.0033141
                   1,            0.065497,            0.018808,           0.0034045,             0.37848,             0.71563,              0.6019,             0.34681,            0.064217,            0.014391,           0.0024837,            0.040042,           0.0065158,           0.0065158
                   2,            0.058643,            0.015803,           0.0027761,             0.56383,             0.77761,             0.53623,             0.21329,            0.069759,            0.014014,           0.0020004,           0.0097782,           0.0095855,           0.0095855
                   3,              0.0512,            0.013812,           0.0021504,             0.82699,             0.81856,             0.81247,             0.39119,            0.046087,            0.015004,           0.0018047,            0.009406,            0.009406,            0.009406
                   4,            0.044435,            0.013096,           0.0015684,             0.87272,             0.80616,             0.86122,             0.46681,             0.04252,            0.015556,            0.001144,            0.009406,            0.009406,            0.009406
                   5,            0.040208,            0.012368,           0.0012945,             0.88214,             0.82795,             0.86682,             0.51582,            0.040626,            0.017059,           0.0014857,            0.009208,            0.009208,            0.009208
                   6,            0.038071,            0.012055,           0.0011423,             0.86845,              0.8569,             0.87148,             0.50039,            0.035834,            0.014915,           0.0016303,             0.00901,             0.00901,             0.00901
                   7,            0.036141,            0.011674,          0.00099412,              0.8816,             0.87941,             0.88934,             0.50258,            0.039826,            0.015731,           0.0012736,            0.008812,            0.008812,            0.008812
                   8,             0.03449,            0.011185,          0.00086668,             0.89639,             0.84665,               0.881,             0.48013,            0.039062,            0.016338,           0.0008578,            0.008614,            0.008614,            0.008614
                   9,            0.032817,            0.010888,          0.00082742,             0.89761,             0.84523,             0.88358,             0.54975,            0.033231,             0.01493,            0.001066,            0.008416,            0.008416,            0.008416
                  10,            0.032008,            0.010915,          0.00080342,             0.89624,             0.84436,             0.86874,             0.51535,            0.031797,              0.0158,          0.00066255,            0.008218,            0.008218,            0.008218
                  11,            0.030762,            0.010825,          0.00075721,              0.8928,             0.85942,             0.88551,             0.49736,            0.034554,            0.015859,             0.00104,             0.00802,             0.00802,             0.00802
                  12,            0.030353,            0.010539,          0.00074453,             0.88635,             0.84899,             0.87906,             0.53101,            0.031164,            0.015463,            0.001011,            0.007822,            0.007822,            0.007822
                  13,            0.029209,            0.010259,          0.00063648,             0.87142,             0.83895,             0.86791,             0.52061,            0.034973,            0.016398,           0.0013247,            0.007624,            0.007624,            0.007624
                  14,             0.02849,            0.010042,          0.00060315,             0.87731,             0.84433,             0.86992,             0.50354,            0.039052,            0.015789,          0.00079705,            0.007426,            0.007426,            0.007426
                  15,             0.02744,           0.0099956,          0.00056659,             0.89859,             0.83358,             0.87335,             0.53693,            0.031663,            0.017124,           0.0010981,            0.007228,            0.007228,            0.007228
                  16,             0.02683,            0.010061,          0.00056537,             0.86901,             0.85124,             0.87921,             0.51729,               0.033,            0.016186,           0.0007639,             0.00703,             0.00703,             0.00703
                  17,            0.026609,           0.0096583,          0.00052263,             0.88187,              0.8719,             0.89469,             0.55311,            0.032188,            0.014557,          0.00066229,            0.006832,            0.006832,            0.006832
                  18,            0.026058,            0.009705,           0.0005003,             0.88113,             0.84072,             0.87728,             0.54556,            0.032314,            0.015166,           0.0014553,            0.006634,            0.006634,            0.006634
                  19,            0.025428,           0.0095926,          0.00044926,             0.89113,             0.83847,             0.87184,             0.54528,            0.029452,            0.015108,          0.00089691,            0.006436,            0.006436,            0.006436
                  20,            0.025042,           0.0093869,          0.00045113,             0.88819,             0.83133,             0.86681,             0.50181,            0.032246,            0.016024,          0.00090015,            0.006238,            0.006238,            0.006238
                  21,            0.024712,           0.0093831,          0.00043873,             0.89702,             0.84192,             0.87602,             0.54825,            0.031169,            0.017049,           0.0011136,             0.00604,             0.00604,             0.00604
                  22,            0.024031,           0.0091751,          0.00039367,              0.8927,             0.84943,             0.87614,             0.54729,            0.029415,            0.015851,          0.00079177,            0.005842,            0.005842,            0.005842
                  23,            0.023259,           0.0091551,          0.00038396,             0.89343,             0.84269,              0.8707,              0.5138,            0.031621,            0.016719,          0.00070872,            0.005644,            0.005644,            0.005644
                  24,            0.023049,           0.0088508,          0.00036457,             0.91526,             0.83321,             0.87354,             0.54211,            0.029844,            0.017477,          0.00075424,            0.005446,            0.005446,            0.005446
                  25,            0.022579,            0.008743,          0.00033551,             0.87978,             0.86482,             0.88431,             0.53635,            0.029821,            0.015011,          0.00079064,            0.005248,            0.005248,            0.005248
                  26,            0.022195,           0.0087332,          0.00030843,             0.89848,             0.83847,             0.86548,             0.50885,            0.030734,            0.016967,          0.00068091,             0.00505,             0.00505,             0.00505
                  27,            0.022362,           0.0088225,          0.00031873,             0.90244,             0.84245,             0.87652,             0.55533,            0.028368,            0.017897,          0.00056633,            0.004852,            0.004852,            0.004852
                  28,            0.021453,           0.0085787,          0.00031763,              0.9228,              0.8168,             0.84295,             0.52202,            0.031117,            0.018508,          0.00080512,            0.004654,            0.004654,            0.004654
                  29,             0.02118,            0.008526,          0.00027322,             0.90485,             0.82439,             0.86262,              0.5162,            0.032596,            0.018416,          0.00051359,            0.004456,            0.004456,            0.004456
                  30,            0.020831,           0.0082861,          0.00028434,             0.89789,             0.82569,             0.85356,             0.50679,            0.031455,            0.017939,           0.0011237,            0.004258,            0.004258,            0.004258
                  31,            0.020589,           0.0085294,          0.00025702,             0.90236,             0.82682,             0.86207,             0.52855,            0.029565,            0.017848,          0.00056697,             0.00406,             0.00406,             0.00406
                  32,            0.020083,           0.0081856,          0.00023136,             0.91449,             0.84711,             0.87686,             0.54309,            0.030903,            0.016645,          0.00057873,            0.003862,            0.003862,            0.003862
                  33,            0.019624,           0.0081672,          0.00021085,             0.89777,             0.85462,             0.87782,             0.55103,            0.028242,            0.016959,          0.00040283,            0.003664,            0.003664,            0.003664
                  34,            0.019343,           0.0081976,          0.00019779,             0.90041,             0.85351,             0.87286,             0.54621,            0.028536,            0.016666,          0.00033811,            0.003466,            0.003466,            0.003466
                  35,            0.018899,            0.008101,          0.00019293,             0.89964,             0.85537,             0.88005,             0.53434,            0.027979,             0.01664,          0.00045091,            0.003268,            0.003268,            0.003268
                  36,            0.018552,           0.0078727,          0.00019819,             0.91049,             0.81743,             0.85561,             0.51921,            0.029098,            0.019911,          0.00049494,             0.00307,             0.00307,             0.00307
                  37,            0.018325,           0.0079055,          0.00017141,             0.88942,             0.82824,             0.85695,             0.52115,            0.029833,            0.018113,          0.00044905,            0.002872,            0.002872,            0.002872
                  38,            0.018103,           0.0077903,           0.0001598,             0.89398,             0.81668,              0.8503,             0.50864,            0.029865,            0.018436,          0.00035139,            0.002674,            0.002674,            0.002674
                  39,            0.017691,           0.0074916,          0.00014148,             0.89122,             0.83997,             0.86401,             0.52853,            0.028605,            0.017554,          0.00026041,            0.002476,            0.002476,            0.002476
                  40,            0.017412,           0.0074923,          0.00014096,             0.90084,             0.83417,             0.85687,             0.51282,            0.030695,            0.018859,          0.00034862,            0.002278,            0.002278,            0.002278
                  41,            0.016912,           0.0076161,          0.00013152,             0.87974,             0.81217,             0.83897,             0.51286,            0.030077,            0.018794,          0.00034389,             0.00208,             0.00208,             0.00208
                  42,            0.016802,           0.0072271,          0.00012293,             0.90459,             0.83208,             0.86279,             0.52079,            0.030039,            0.019453,           0.0003453,            0.001882,            0.001882,            0.001882
                  43,            0.016268,           0.0071787,          0.00011411,             0.89111,             0.80617,             0.83979,             0.50991,            0.030481,            0.020786,           0.0003134,            0.001684,            0.001684,            0.001684
                  44,            0.016209,           0.0073026,          9.8564e-05,             0.89668,              0.8133,             0.85081,             0.50957,            0.030587,            0.020049,          0.00038738,            0.001486,            0.001486,            0.001486
                  45,            0.015901,           0.0072094,          8.8314e-05,             0.90782,             0.81743,             0.85191,             0.52126,            0.029962,            0.019917,          0.00032908,            0.001288,            0.001288,            0.001288
                  46,            0.015489,           0.0069297,          8.1321e-05,             0.90819,             0.82389,             0.86034,             0.52923,            0.029266,            0.019538,          0.00032595,             0.00109,             0.00109,             0.00109
                  47,            0.015302,           0.0070111,          8.0812e-05,             0.90329,             0.82102,             0.85326,             0.52729,            0.029843,            0.019678,          0.00043943,            0.000892,            0.000892,            0.000892
                  48,            0.014992,            0.007078,          7.4332e-05,             0.91009,             0.80811,             0.85065,             0.52607,            0.029607,            0.020586,          0.00029854,            0.000694,            0.000694,            0.000694
                  49,            0.014927,           0.0069615,          6.8296e-05,             0.92446,             0.81395,             0.85434,             0.52718,            0.028947,            0.020246,          0.00027291,            0.000496,            0.000496,            0.000496
