               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092999,            0.025725,            0.013452,             0.63909,             0.62983,             0.62563,             0.23745,            0.061886,             0.01801,           0.0036939,            0.070173,           0.0033141,           0.0033141
                   1,            0.063885,            0.018182,           0.0032638,             0.64523,             0.77718,             0.77198,             0.39675,            0.062732,             0.01439,           0.0022796,            0.040042,           0.0065158,           0.0065158
                   2,            0.058831,            0.015698,           0.0028755,             0.66599,             0.82607,              0.7516,             0.36071,            0.043929,            0.015521,           0.0025531,           0.0097782,           0.0095855,           0.0095855
                   3,            0.051255,            0.013731,           0.0021403,             0.78268,             0.85424,             0.83179,             0.47421,            0.040911,             0.01586,           0.0021941,            0.009406,            0.009406,            0.009406
                   4,            0.044858,            0.013104,           0.0016086,             0.87048,             0.81255,             0.85945,              0.5026,            0.039915,            0.015736,           0.0018307,            0.009406,            0.009406,            0.009406
                   5,            0.040947,            0.012484,           0.0011905,             0.88044,             0.82945,             0.86126,             0.47481,            0.035658,            0.014623,           0.0011582,            0.009208,            0.009208,            0.009208
                   6,            0.038106,             0.01227,           0.0011496,             0.89284,             0.85619,             0.88684,             0.51798,            0.039678,              0.0146,           0.0011541,             0.00901,             0.00901,             0.00901
                   7,            0.036631,            0.011959,          0.00091184,             0.88037,             0.88204,             0.89975,             0.54613,            0.038521,            0.013753,          0.00097758,            0.008812,            0.008812,            0.008812
                   8,            0.034934,            0.011446,          0.00091592,             0.91096,             0.82392,             0.86653,             0.49972,             0.03561,            0.017827,           0.0021486,            0.008614,            0.008614,            0.008614
                   9,            0.033414,            0.011117,          0.00089741,             0.88061,             0.84711,             0.87331,             0.48514,            0.044714,            0.015984,           0.0012472,            0.008416,            0.008416,            0.008416
                  10,            0.032457,            0.011101,          0.00079382,              0.9023,             0.83922,             0.88216,             0.51519,            0.039802,             0.01519,           0.0012944,            0.008218,            0.008218,            0.008218
                  11,            0.031724,            0.011058,          0.00070464,             0.86878,             0.84636,             0.87267,             0.48129,             0.03653,            0.016084,           0.0010998,             0.00802,             0.00802,             0.00802
                  12,            0.030902,            0.010794,          0.00067168,             0.89061,             0.85581,             0.88514,              0.5295,            0.031893,            0.014636,           0.0006989,            0.007822,            0.007822,            0.007822
                  13,            0.029431,            0.010513,          0.00065075,             0.90172,             0.81029,             0.85695,             0.50206,            0.036646,             0.01672,           0.0015696,            0.007624,            0.007624,            0.007624
                  14,             0.02891,            0.010258,          0.00060295,             0.89089,             0.82269,             0.85614,             0.48622,             0.03691,            0.016475,           0.0010116,            0.007426,            0.007426,            0.007426
                  15,            0.027784,            0.010185,          0.00056476,             0.90493,             0.81668,             0.85938,             0.48206,            0.036292,            0.018214,          0.00062672,            0.007228,            0.007228,            0.007228
                  16,            0.028117,            0.010332,           0.0005376,             0.87211,             0.84084,             0.86596,             0.49085,            0.037086,            0.016923,           0.0010987,             0.00703,             0.00703,             0.00703
