               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.028098,            0.012877,             0.22564,             0.57168,             0.18822,            0.039493,            0.083151,            0.019646,           0.0026599,            0.070173,           0.0033141,           0.0033141
                   1,            0.071175,            0.019132,           0.0025608,             0.37589,              0.7577,             0.65569,             0.27063,            0.066975,            0.015513,           0.0022773,            0.040042,           0.0065158,           0.0065158
                   2,            0.062476,            0.016426,           0.0024672,             0.44469,             0.76951,               0.767,             0.38975,            0.047072,            0.015493,           0.0023948,           0.0097782,           0.0095855,           0.0095855
                   3,            0.053141,            0.014647,           0.0019886,             0.87097,             0.80814,             0.85463,             0.44607,            0.048219,            0.014433,           0.0016796,            0.009406,            0.009406,            0.009406
                   4,            0.046694,            0.013822,           0.0015905,             0.88646,             0.80807,             0.84458,             0.47382,             0.04187,             0.01518,           0.0017719,            0.009406,            0.009406,            0.009406
                   5,             0.04252,            0.013145,           0.0012812,              0.8753,             0.83222,             0.86722,             0.47834,            0.035748,            0.014689,           0.0014246,            0.009208,            0.009208,            0.009208
                   6,            0.039575,            0.012847,           0.0011511,             0.95449,             0.76897,             0.86127,             0.50208,            0.039415,            0.016981,           0.0021455,             0.00901,             0.00901,             0.00901
                   7,            0.037923,            0.012426,           0.0010643,             0.88308,              0.8456,             0.86734,             0.48398,            0.039377,            0.014384,           0.0018966,            0.008812,            0.008812,            0.008812
                   8,            0.036211,            0.012001,           0.0009439,             0.89409,             0.88326,             0.90629,             0.53567,            0.038778,            0.014244,          0.00087072,            0.008614,            0.008614,            0.008614
                   9,            0.034287,            0.011678,          0.00081096,             0.89759,             0.84373,             0.87919,             0.52542,            0.038046,            0.015946,           0.0013585,            0.008416,            0.008416,            0.008416
                  10,            0.033891,            0.011742,          0.00077109,             0.89454,             0.85687,             0.89091,             0.51393,            0.040896,            0.015199,           0.0010085,            0.008218,            0.008218,            0.008218
                  11,            0.032707,            0.011673,          0.00070306,             0.88152,             0.83621,             0.86759,             0.50755,            0.037861,            0.014781,          0.00098752,             0.00802,             0.00802,             0.00802
                  12,            0.032424,            0.011458,          0.00064718,             0.88574,             0.84128,             0.87643,             0.53547,            0.030684,            0.016075,           0.0012286,            0.007822,            0.007822,            0.007822
                  13,            0.030994,            0.011133,          0.00059125,             0.89188,             0.82812,             0.86945,             0.48781,            0.035947,             0.01695,           0.0014232,            0.007624,            0.007624,            0.007624
                  14,            0.030209,            0.010912,          0.00054899,             0.88121,              0.8565,             0.88057,             0.46391,            0.039032,            0.015176,          0.00067499,            0.007426,            0.007426,            0.007426
                  15,            0.029247,            0.010846,          0.00052408,             0.89045,             0.85199,             0.88643,              0.5152,            0.031758,            0.016261,           0.0012653,            0.007228,            0.007228,            0.007228
                  16,            0.029339,            0.011031,          0.00048169,             0.87639,             0.85875,             0.88356,             0.49909,            0.033802,            0.015303,           0.0011006,             0.00703,             0.00703,             0.00703
                  17,            0.027854,            0.010466,          0.00044687,             0.87273,             0.86326,             0.88766,             0.49427,            0.034384,            0.015726,          0.00082909,            0.006832,            0.006832,            0.006832
                  18,             0.02769,            0.010685,          0.00047206,             0.88585,             0.81743,             0.86624,             0.49641,            0.033929,            0.016553,           0.0010831,            0.006634,            0.006634,            0.006634
                  19,            0.026866,            0.010583,          0.00040528,             0.87807,              0.8689,             0.89312,             0.52867,            0.030608,            0.015652,          0.00074851,            0.006436,            0.006436,            0.006436
                  20,             0.02697,            0.010334,          0.00043131,             0.87056,             0.85349,             0.87583,             0.47908,            0.031949,             0.01574,          0.00078039,            0.006238,            0.006238,            0.006238
                  21,            0.026419,              0.0103,          0.00038609,              0.8742,              0.8565,             0.87939,             0.50972,            0.032047,            0.016137,           0.0011681,             0.00604,             0.00604,             0.00604
                  22,            0.025626,            0.010087,          0.00034525,             0.86386,             0.83809,             0.86619,             0.49379,            0.031895,            0.016509,          0.00077936,            0.005842,            0.005842,            0.005842
                  23,            0.025307,            0.010229,          0.00034392,             0.89267,             0.81968,             0.85756,             0.47782,            0.035768,            0.018127,           0.0017285,            0.005644,            0.005644,            0.005644
                  24,            0.025174,           0.0098983,          0.00033555,             0.87053,             0.83208,             0.86412,             0.50268,            0.031917,            0.017233,           0.0010322,            0.005446,            0.005446,            0.005446
                  25,            0.024591,           0.0096843,          0.00030619,             0.85332,             0.83957,             0.85304,             0.50984,            0.032324,             0.01618,          0.00087711,            0.005248,            0.005248,            0.005248
                  26,            0.024097,           0.0096524,          0.00029896,             0.87152,             0.82832,             0.85932,             0.47849,            0.034195,            0.017748,              0.0011,             0.00505,             0.00505,             0.00505
                  27,            0.024147,           0.0096843,          0.00027408,             0.88614,             0.82757,             0.86264,             0.47458,            0.035469,            0.018899,          0.00081727,            0.004852,            0.004852,            0.004852
                  28,            0.023251,           0.0095273,          0.00028355,             0.88163,             0.82757,             0.86485,               0.525,            0.030921,            0.017473,           0.0013794,            0.004654,            0.004654,            0.004654
                  29,            0.022911,           0.0094782,          0.00023985,             0.87346,             0.82983,             0.85226,              0.4692,            0.037464,            0.019148,          0.00097909,            0.004456,            0.004456,            0.004456
                  30,            0.022906,           0.0092675,          0.00023974,             0.85268,             0.82569,             0.84409,              0.4933,             0.03268,            0.017773,          0.00073518,            0.004258,            0.004258,            0.004258
                  31,            0.022603,           0.0094967,          0.00024578,             0.88236,             0.80541,             0.84109,             0.49746,            0.033176,            0.019029,           0.0014196,             0.00406,             0.00406,             0.00406
                  32,            0.022116,           0.0092039,          0.00021541,             0.86192,             0.83703,             0.85601,             0.48831,            0.034041,            0.016712,          0.00061668,            0.003862,            0.003862,            0.003862
                  33,            0.021742,           0.0092051,          0.00018579,             0.87386,             0.81749,             0.84196,             0.50793,            0.031509,            0.018989,          0.00078183,            0.003664,            0.003664,            0.003664
                  34,             0.02162,           0.0092805,          0.00018205,             0.86729,             0.81523,             0.84657,             0.49323,            0.033053,            0.018901,          0.00076964,            0.003466,            0.003466,            0.003466
                  35,            0.021013,           0.0091624,          0.00018111,             0.85532,             0.82344,             0.83852,             0.51017,            0.030726,            0.018873,          0.00068253,            0.003268,            0.003268,            0.003268
                  36,            0.021074,           0.0089994,          0.00016952,             0.85631,              0.8118,             0.83486,             0.50329,            0.031779,            0.018025,           0.0011471,             0.00307,             0.00307,             0.00307
                  37,            0.020719,           0.0090166,          0.00016624,             0.85915,             0.82269,             0.84281,             0.50536,            0.030763,            0.018583,           0.0010734,            0.002872,            0.002872,            0.002872
                  38,            0.020385,           0.0088952,          0.00015019,             0.87664,             0.84327,             0.85913,             0.49961,            0.034273,            0.017435,          0.00081287,            0.002674,            0.002674,            0.002674
                  39,            0.020239,           0.0086596,          0.00013803,             0.87696,             0.83471,              0.8641,             0.53328,            0.030966,            0.017837,          0.00070457,            0.002476,            0.002476,            0.002476
                  40,            0.020091,           0.0086707,           0.0001302,              0.8621,              0.8407,             0.85396,             0.51418,            0.031415,            0.017431,          0.00070097,            0.002278,            0.002278,            0.002278
                  41,            0.019572,           0.0088642,          0.00012881,             0.85279,             0.83981,             0.84148,             0.49599,            0.031381,            0.017299,          0.00047993,             0.00208,             0.00208,             0.00208
                  42,            0.019683,           0.0084628,          0.00011436,             0.87065,             0.83584,             0.85487,             0.50666,            0.031271,            0.018187,          0.00072146,            0.001882,            0.001882,            0.001882
                  43,            0.019189,           0.0085101,          0.00011269,                0.86,             0.84638,             0.85234,             0.48996,            0.031795,            0.018447,          0.00074142,            0.001684,            0.001684,            0.001684
                  44,             0.01906,           0.0085993,          9.6768e-05,             0.87357,             0.83133,              0.8489,             0.51282,             0.03195,            0.018997,           0.0010065,            0.001486,            0.001486,            0.001486
                  45,            0.019057,            0.008596,          9.2129e-05,             0.87593,             0.83151,             0.84674,             0.51427,            0.031594,             0.01865,           0.0008033,            0.001288,            0.001288,            0.001288
                  46,            0.018763,           0.0082911,          8.3439e-05,             0.87833,             0.84373,             0.85622,             0.50715,            0.031945,            0.017737,          0.00067895,             0.00109,             0.00109,             0.00109
                  47,            0.018524,           0.0083787,          8.4289e-05,             0.86924,             0.83672,             0.84613,             0.50587,            0.032042,            0.018485,          0.00080512,            0.000892,            0.000892,            0.000892
