               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084245,            0.026872,            0.012353,             0.39349,             0.71375,             0.39745,             0.12775,            0.057205,            0.018228,           0.0032678,            0.070173,           0.0033141,           0.0033141
                   1,            0.063179,            0.017848,           0.0033275,             0.42224,             0.78362,             0.72416,             0.43355,            0.059311,            0.014497,           0.0023692,            0.040042,           0.0065158,           0.0065158
                   2,            0.057102,            0.015126,           0.0029559,             0.37614,             0.77949,             0.68501,             0.41067,            0.071816,            0.014314,           0.0019228,           0.0097782,           0.0095855,           0.0095855
                   3,            0.049438,            0.013363,           0.0021141,             0.85549,              0.7996,             0.83799,             0.49743,            0.045618,            0.015429,           0.0018414,            0.009406,            0.009406,            0.009406
                   4,            0.043728,            0.012826,           0.0016413,             0.95079,             0.77836,             0.88053,             0.49039,            0.040481,            0.014932,           0.0013625,            0.009406,            0.009406,            0.009406
                   5,            0.040182,            0.012151,           0.0012365,             0.89574,             0.80645,             0.83856,             0.51745,            0.036442,            0.015897,           0.0016083,            0.009208,            0.009208,            0.009208
                   6,            0.037421,            0.011922,           0.0010942,             0.86279,             0.86026,             0.88374,             0.50773,            0.034351,            0.014514,            0.001078,             0.00901,             0.00901,             0.00901
                   7,            0.035758,            0.011464,          0.00097971,             0.95342,             0.76814,             0.89311,             0.50789,               0.044,            0.014672,          0.00092125,            0.008812,            0.008812,            0.008812
                   8,            0.034235,            0.011077,          0.00092936,             0.88732,             0.85832,             0.88588,             0.48535,            0.036421,            0.015994,           0.0012626,            0.008614,            0.008614,            0.008614
                   9,            0.032693,            0.010728,          0.00086485,             0.88441,             0.83354,             0.86954,              0.5087,             0.03184,            0.016398,          0.00088558,            0.008416,            0.008416,            0.008416
                  10,            0.031453,            0.010634,          0.00080092,             0.89926,             0.88505,             0.90508,             0.54343,            0.035672,            0.014148,           0.0007403,            0.008218,            0.008218,            0.008218
                  11,            0.030617,            0.010621,          0.00075565,             0.87963,             0.83803,             0.85915,              0.4822,            0.034631,            0.016088,          0.00071539,             0.00802,             0.00802,             0.00802
                  12,            0.029777,            0.010302,          0.00071766,             0.90476,             0.84748,             0.88619,             0.53266,            0.034681,            0.015825,          0.00050792,            0.007822,            0.007822,            0.007822
                  13,            0.028741,            0.010134,          0.00067507,             0.90804,             0.82419,             0.86684,             0.51508,            0.032094,            0.016896,          0.00073291,            0.007624,            0.007624,            0.007624
                  14,            0.028082,           0.0098512,          0.00058039,             0.89208,             0.85349,             0.88417,             0.53386,            0.033474,            0.015013,          0.00049416,            0.007426,            0.007426,            0.007426
                  15,            0.027408,           0.0098866,          0.00055169,             0.91018,             0.84523,              0.8916,              0.5352,            0.032365,            0.014882,          0.00083759,            0.007228,            0.007228,            0.007228
                  16,            0.026934,           0.0099641,          0.00053554,             0.86876,             0.85913,               0.884,             0.51637,            0.033958,            0.015871,           0.0006365,             0.00703,             0.00703,             0.00703
                  17,            0.026311,           0.0094992,          0.00052084,             0.87206,             0.86213,             0.88609,             0.54233,            0.030699,             0.01462,          0.00053596,            0.006832,            0.006832,            0.006832
                  18,            0.025994,            0.009581,          0.00049752,             0.87396,             0.84222,             0.88111,             0.53157,             0.03351,            0.015112,          0.00063365,            0.006634,            0.006634,            0.006634
                  19,            0.025039,           0.0094249,          0.00043813,             0.87155,             0.82983,             0.85587,             0.53345,            0.032568,            0.017311,          0.00050315,            0.006436,            0.006436,            0.006436
                  20,            0.024774,           0.0092328,          0.00047945,              0.8733,             0.81813,             0.83421,              0.4894,            0.035654,            0.019227,          0.00079133,            0.006238,            0.006238,            0.006238
                  21,            0.024598,           0.0092703,          0.00041522,             0.88449,             0.82044,             0.85085,             0.53698,            0.030231,            0.017745,          0.00059793,             0.00604,             0.00604,             0.00604
                  22,            0.023536,           0.0089175,          0.00042179,              0.8652,             0.82206,             0.83963,             0.51798,            0.031151,            0.017604,          0.00050741,            0.005842,            0.005842,            0.005842
                  23,            0.023018,           0.0090216,          0.00036403,             0.89971,             0.80391,             0.83602,             0.48452,             0.03604,            0.019277,          0.00092125,            0.005644,            0.005644,            0.005644
                  24,             0.02286,           0.0087139,          0.00035807,             0.91044,             0.79301,             0.84509,             0.52506,            0.031194,            0.019845,          0.00073193,            0.005446,            0.005446,            0.005446
                  25,            0.022268,            0.008576,          0.00034837,             0.88396,             0.80691,             0.83044,             0.50886,            0.033819,            0.018442,          0.00059945,            0.005248,            0.005248,            0.005248
                  26,            0.022059,           0.0085291,          0.00034316,             0.91522,             0.82546,              0.8606,             0.54212,            0.031131,            0.018932,          0.00064677,             0.00505,             0.00505,             0.00505
                  27,            0.021801,           0.0086114,          0.00031446,             0.89758,             0.82522,               0.862,             0.54732,            0.029964,            0.018851,          0.00050249,            0.004852,            0.004852,            0.004852
                  28,            0.021229,             0.00842,           0.0003048,             0.88875,             0.82787,             0.84926,             0.53632,             0.02954,            0.018606,          0.00043698,            0.004654,            0.004654,            0.004654
                  29,            0.020752,           0.0082416,          0.00028121,             0.90407,             0.79902,             0.83975,             0.50979,            0.031341,            0.020711,          0.00057174,            0.004456,            0.004456,            0.004456
                  30,            0.020419,           0.0081132,          0.00029298,             0.86752,             0.79151,              0.8173,              0.4985,            0.031538,            0.019331,          0.00045855,            0.004258,            0.004258,            0.004258
                  31,            0.020068,           0.0083081,          0.00024654,             0.90523,             0.79193,             0.83179,             0.49882,              0.0323,             0.02005,          0.00067537,             0.00406,             0.00406,             0.00406
                  32,              0.0197,           0.0079553,          0.00024933,             0.89316,             0.82022,             0.85186,             0.51611,            0.031407,            0.018589,          0.00046106,            0.003862,            0.003862,            0.003862
                  33,             0.01889,           0.0078836,          0.00020346,             0.89528,             0.81818,             0.85196,             0.52049,            0.028862,            0.019856,          0.00047935,            0.003664,            0.003664,            0.003664
                  34,            0.018729,           0.0079097,          0.00022012,             0.89709,             0.81367,             0.84617,             0.52065,            0.029423,            0.020175,          0.00058889,            0.003466,            0.003466,            0.003466
                  35,            0.018385,           0.0078086,          0.00021346,             0.89292,             0.80694,             0.84433,             0.52501,            0.030118,            0.021187,          0.00053493,            0.003268,            0.003268,            0.003268
                  36,            0.017945,           0.0075928,          0.00019783,              0.8711,             0.79211,              0.8211,             0.50631,            0.029106,            0.020841,            0.000531,             0.00307,             0.00307,             0.00307
                  37,            0.017603,           0.0075944,          0.00019034,             0.89807,             0.79677,             0.83175,             0.51476,            0.030968,             0.02115,          0.00058852,            0.002872,            0.002872,            0.002872
                  38,            0.017329,           0.0074636,          0.00015122,             0.89101,             0.79186,             0.83397,             0.50319,            0.031022,            0.020117,          0.00050481,            0.002674,            0.002674,            0.002674
                  39,            0.017095,           0.0072146,          0.00013762,             0.88895,             0.78693,              0.8261,             0.52233,            0.029547,            0.020933,          0.00046097,            0.002476,            0.002476,            0.002476
                  40,            0.016802,           0.0072442,          0.00014093,             0.88021,             0.82457,             0.84079,             0.50946,            0.030643,            0.019914,          0.00043628,            0.002278,            0.002278,            0.002278
                  41,             0.01613,           0.0073423,          0.00012979,             0.88055,             0.78512,             0.81469,             0.51594,            0.029726,            0.021997,          0.00030781,             0.00208,             0.00208,             0.00208
                  42,            0.016154,           0.0069669,          0.00011751,             0.90187,             0.80691,             0.83899,             0.51438,            0.030797,            0.020825,          0.00044367,            0.001882,            0.001882,            0.001882
                  43,            0.015582,           0.0069112,          0.00011385,              0.8872,             0.80927,              0.8399,             0.50293,            0.031202,            0.022417,          0.00045426,            0.001684,            0.001684,            0.001684
                  44,            0.015479,           0.0070299,          9.8056e-05,             0.88562,             0.77498,             0.81717,             0.49583,            0.031093,            0.023036,          0.00047845,            0.001486,            0.001486,            0.001486
                  45,            0.015113,           0.0068805,          8.6997e-05,              0.9097,             0.79326,             0.83676,             0.51679,            0.030854,            0.021997,          0.00034459,            0.001288,            0.001288,            0.001288
                  46,            0.014653,           0.0066165,          7.7522e-05,             0.89697,             0.79816,             0.83842,             0.52162,            0.029147,            0.020528,          0.00030955,             0.00109,             0.00109,             0.00109
                  47,            0.014449,           0.0066666,          7.5258e-05,             0.87824,             0.79301,             0.82221,             0.50426,              0.0315,            0.022216,          0.00041501,            0.000892,            0.000892,            0.000892
                  48,            0.014275,           0.0068275,          6.9005e-05,             0.88853,             0.77496,             0.81616,              0.4991,            0.031023,            0.023112,           0.0003878,            0.000694,            0.000694,            0.000694
                  49,            0.014119,           0.0066089,          6.5979e-05,             0.89868,             0.78301,             0.82573,             0.51084,            0.030068,            0.022593,          0.00037435,            0.000496,            0.000496,            0.000496
