               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10389,            0.029147,            0.015769,             0.35634,             0.35936,             0.24911,             0.08018,            0.077186,            0.021813,           0.0057051,            0.070149,           0.0033167,           0.0033167
                   1,            0.075787,            0.022605,           0.0058993,             0.30111,             0.58376,             0.30258,             0.11191,            0.073214,            0.018241,           0.0046399,            0.040018,           0.0065184,           0.0065184
                   2,             0.06914,             0.02114,           0.0044982,             0.54194,             0.65253,             0.55373,             0.28896,            0.056414,            0.018413,           0.0039362,           0.0097539,           0.0095881,           0.0095881
                   3,            0.062808,             0.02023,           0.0037219,             0.75634,             0.70008,             0.68508,             0.37517,             0.04984,            0.017402,           0.0030574,            0.009406,            0.009406,            0.009406
                   4,            0.057557,            0.019591,            0.003485,             0.74467,             0.68653,              0.6643,             0.30493,            0.051843,            0.017135,           0.0038673,            0.009406,            0.009406,            0.009406
                   5,            0.054106,            0.019046,            0.002781,             0.78949,              0.7298,             0.70518,             0.38851,             0.04541,            0.017021,           0.0030357,            0.009208,            0.009208,            0.009208
                   6,             0.05191,            0.018677,           0.0024743,             0.79303,             0.68822,             0.69007,             0.38053,             0.04712,            0.017716,            0.003274,             0.00901,             0.00901,             0.00901
                   7,             0.05019,            0.018038,           0.0023874,             0.81147,             0.73831,             0.72248,             0.37999,            0.045342,            0.016241,           0.0027533,            0.008812,            0.008812,            0.008812
                   8,            0.049485,             0.01803,           0.0023597,             0.81004,             0.73257,             0.72033,             0.40492,            0.041493,            0.017303,           0.0024202,            0.008614,            0.008614,            0.008614
                   9,            0.049026,            0.017868,           0.0022099,             0.82447,             0.71873,             0.72915,             0.42341,            0.042417,             0.01639,           0.0033537,            0.008416,            0.008416,            0.008416
                  10,            0.047258,             0.01752,           0.0021036,             0.82723,              0.7269,             0.73213,             0.44672,             0.04267,            0.016491,           0.0027397,            0.008218,            0.008218,            0.008218
                  11,            0.045933,            0.017689,           0.0018613,             0.82394,              0.7404,             0.73856,             0.47103,            0.039856,            0.015757,           0.0022585,             0.00802,             0.00802,             0.00802
                  12,            0.045295,            0.017448,            0.001732,             0.84847,             0.72492,             0.74374,              0.4727,             0.03931,            0.015374,            0.002205,            0.007822,            0.007822,            0.007822
                  13,            0.045999,            0.017899,           0.0019233,             0.84047,             0.74534,             0.74806,             0.48877,            0.038259,            0.015396,           0.0023033,            0.007624,            0.007624,            0.007624
                  14,            0.044562,            0.017321,           0.0017603,             0.84804,             0.73513,             0.74326,             0.47316,            0.039827,            0.015938,           0.0022672,            0.007426,            0.007426,            0.007426
                  15,            0.043347,            0.016735,           0.0016929,             0.84489,             0.75023,             0.74811,             0.49486,            0.037277,            0.015659,           0.0023139,            0.007228,            0.007228,            0.007228
                  16,            0.042662,            0.016806,           0.0015605,             0.85139,             0.75293,             0.74966,             0.48468,             0.03835,            0.014957,           0.0019639,             0.00703,             0.00703,             0.00703
                  17,            0.042826,            0.016643,           0.0016234,             0.83953,             0.74689,             0.74683,             0.48995,            0.037377,            0.015386,            0.001929,            0.006832,            0.006832,            0.006832
                  18,            0.043007,            0.016948,           0.0015379,             0.85919,             0.75427,             0.75934,             0.49628,            0.036953,            0.015052,           0.0019777,            0.006634,            0.006634,            0.006634
                  19,            0.042201,            0.016515,           0.0014556,             0.86013,             0.75438,             0.74999,             0.50096,            0.036759,             0.01488,           0.0022774,            0.006436,            0.006436,            0.006436
                  20,              0.0411,            0.016329,            0.001452,             0.85319,             0.75113,             0.75684,              0.4992,            0.036433,            0.014569,           0.0020939,            0.006238,            0.006238,            0.006238
                  21,            0.041768,            0.016472,           0.0015184,             0.86571,             0.74173,             0.75432,             0.49831,            0.036595,            0.014508,           0.0019905,             0.00604,             0.00604,             0.00604
                  22,            0.040546,            0.016393,           0.0013527,             0.86185,             0.73992,             0.75326,             0.51822,            0.035594,            0.014596,           0.0022127,            0.005842,            0.005842,            0.005842
                  23,            0.039302,            0.015971,           0.0012615,             0.86362,             0.74674,             0.75322,             0.51684,            0.035725,             0.01476,           0.0022595,            0.005644,            0.005644,            0.005644
                  24,            0.039486,            0.015873,           0.0012211,             0.85094,             0.75519,              0.7536,              0.5176,            0.035592,            0.014395,           0.0017944,            0.005446,            0.005446,            0.005446
                  25,            0.039909,             0.01619,           0.0012689,             0.85288,             0.75727,             0.75601,             0.51415,            0.035123,            0.014401,           0.0021471,            0.005248,            0.005248,            0.005248
                  26,            0.039265,            0.015828,           0.0012499,              0.8699,             0.74603,             0.75971,             0.51373,            0.035688,            0.014656,           0.0021779,             0.00505,             0.00505,             0.00505
                  27,             0.03884,            0.015795,           0.0011041,             0.85996,             0.74293,             0.75347,             0.52394,            0.035433,            0.014987,           0.0024595,            0.004852,            0.004852,            0.004852
                  28,            0.038562,            0.015427,            0.001111,             0.87752,             0.74277,             0.76016,             0.51939,            0.035384,            0.014492,           0.0022218,            0.004654,            0.004654,            0.004654
                  29,             0.03751,            0.015526,          0.00097527,             0.87444,             0.74054,             0.76122,             0.52347,             0.03455,            0.014755,           0.0025309,            0.004456,            0.004456,            0.004456
                  30,            0.038665,             0.01595,           0.0012235,             0.88741,             0.74524,             0.76391,             0.53229,            0.034267,            0.013905,           0.0026469,            0.004258,            0.004258,            0.004258
                  31,            0.037249,            0.015393,          0.00098191,             0.87332,              0.7429,             0.75543,             0.53195,            0.034691,            0.014401,           0.0024406,             0.00406,             0.00406,             0.00406
                  32,             0.03699,            0.015637,          0.00093909,             0.86422,              0.7544,             0.75297,             0.52694,            0.034339,            0.014559,           0.0025524,            0.003862,            0.003862,            0.003862
                  33,            0.037162,            0.015494,          0.00097184,             0.89142,             0.74777,             0.76072,             0.53785,            0.034078,            0.014222,           0.0023883,            0.003664,            0.003664,            0.003664
                  34,            0.036789,              0.0154,          0.00084143,             0.89058,             0.74017,             0.75985,             0.52898,            0.035408,            0.014207,           0.0024783,            0.003466,            0.003466,            0.003466
                  35,             0.03687,            0.015534,          0.00090984,             0.88882,              0.7507,             0.75974,              0.5349,            0.034952,            0.014162,           0.0026191,            0.003268,            0.003268,            0.003268
                  36,            0.036716,            0.015286,          0.00085225,             0.87482,             0.75121,             0.75515,             0.54063,            0.033795,            0.014447,           0.0024823,             0.00307,             0.00307,             0.00307
                  37,            0.035647,            0.015208,          0.00085028,             0.89552,              0.7409,             0.76178,             0.54147,            0.034442,            0.014078,           0.0025584,            0.002872,            0.002872,            0.002872
                  38,            0.035589,            0.014972,          0.00078082,             0.89446,             0.73837,             0.76148,             0.54926,            0.034025,             0.01416,           0.0026964,            0.002674,            0.002674,            0.002674
                  39,            0.035655,            0.015306,          0.00075175,             0.88391,             0.74488,             0.76031,             0.54676,            0.033702,            0.014346,            0.002313,            0.002476,            0.002476,            0.002476
                  40,            0.035562,            0.014815,          0.00071468,             0.89274,             0.74741,              0.7593,             0.54532,            0.033622,            0.014079,           0.0023674,            0.002278,            0.002278,            0.002278
                  41,            0.033821,            0.014742,          0.00069024,               0.887,             0.74596,             0.76143,             0.54255,            0.034182,            0.014515,           0.0025475,             0.00208,             0.00208,             0.00208
                  42,            0.034596,            0.015076,          0.00066226,             0.88619,             0.74613,             0.75679,             0.54413,             0.03312,            0.014234,           0.0026299,            0.001882,            0.001882,            0.001882
                  43,            0.034002,            0.014557,          0.00063525,               0.899,             0.74669,             0.76047,             0.54858,             0.03348,            0.014174,             0.00283,            0.001684,            0.001684,            0.001684
                  44,            0.033679,            0.014718,          0.00054827,             0.88894,             0.75185,             0.76366,                0.55,            0.033244,            0.014029,           0.0028234,            0.001486,            0.001486,            0.001486
                  45,            0.033574,            0.014759,          0.00053144,             0.88701,             0.75139,             0.76174,             0.55082,            0.033441,            0.014187,           0.0024936,            0.001288,            0.001288,            0.001288
                  46,            0.033279,             0.01475,          0.00053794,             0.87298,             0.75781,             0.76286,             0.55144,            0.032962,            0.014322,           0.0028208,             0.00109,             0.00109,             0.00109
                  47,            0.034034,              0.0147,          0.00062447,             0.88408,             0.75826,             0.76128,             0.55049,            0.033587,            0.014009,           0.0027923,            0.000892,            0.000892,            0.000892
                  48,            0.033065,            0.014236,          0.00045972,             0.89799,             0.75103,             0.76222,             0.54929,            0.033452,            0.013992,           0.0027632,            0.000694,            0.000694,            0.000694
                  49,            0.032592,            0.014392,          0.00048852,             0.89071,             0.75139,             0.75992,             0.55221,            0.033119,             0.01414,           0.0027351,            0.000496,            0.000496,            0.000496
